round,seed,condition,algorithm,selection_mode,selection_budget,agent_id,selection_score,selected_for_aggregation
18,41,standard,fedadagrad,error_low,4,1,0.2361681384351601,1
18,41,standard,fedadagrad,error_low,4,2,0.7411793263505327,0
18,41,standard,fedadagrad,error_low,4,3,0.6558572660839398,0
18,41,standard,fedadagrad,error_low,4,4,0.4614633170962848,1
18,41,standard,fedadagrad,error_low,4,5,0.2616730250984249,1
18,41,standard,fedadagrad,error_low,4,6,0.7014492082649162,0
18,41,standard,fedadagrad,error_low,4,7,0.186124325919602,1
19,41,standard,fedadagrad,error_low,4,0,0.9552879038127674,0
19,41,standard,fedadagrad,error_low,4,1,0.1646443455558277,1
19,41,standard,fedadagrad,error_low,4,2,0.475570462443968,0
19,41,standard,fedadagrad,error_low,4,3,0.5294724941013873,0
19,41,standard,fedadagrad,error_low,4,4,0.4891973552340694,0
19,41,standard,fedadagrad,error_low,4,5,0.2080890414277309,1
19,41,standard,fedadagrad,error_low,4,6,0.427351150680627,1
19,41,standard,fedadagrad,error_low,4,7,0.1378614348817854,1
20,41,standard,fedadagrad,error_low,4,0,0.8690151819451708,0
20,41,standard,fedadagrad,error_low,4,1,0.1586631137252595,1
20,41,standard,fedadagrad,error_low,4,2,0.7743452905505684,0
20,41,standard,fedadagrad,error_low,4,3,0.7348962844844221,0
20,41,standard,fedadagrad,error_low,4,4,0.3814538479641886,1
20,41,standard,fedadagrad,error_low,4,5,0.126169662543318,1
20,41,standard,fedadagrad,error_low,4,6,0.527959300704144,0
20,41,standard,fedadagrad,error_low,4,7,0.2777765556869917,1
21,41,standard,fedadagrad,error_low,4,0,1.0366643514993168,0
21,41,standard,fedadagrad,error_low,4,1,0.1634958440889967,1
21,41,standard,fedadagrad,error_low,4,2,0.5444317894311899,0
21,41,standard,fedadagrad,error_low,4,3,0.3668843383902305,0
21,41,standard,fedadagrad,error_low,4,4,0.2863181565248162,1
21,41,standard,fedadagrad,error_low,4,5,0.1159759762359829,1
21,41,standard,fedadagrad,error_low,4,6,0.3738117138953408,0
21,41,standard,fedadagrad,error_low,4,7,0.2560012193108945,1
22,41,standard,fedadagrad,error_low,4,0,1.1367301016910392,0
22,41,standard,fedadagrad,error_low,4,1,0.1679577612115588,1
22,41,standard,fedadagrad,error_low,4,2,0.4880657260845878,0
22,41,standard,fedadagrad,error_low,4,3,0.370792813789099,0
22,41,standard,fedadagrad,error_low,4,4,0.625235295805099,0
22,41,standard,fedadagrad,error_low,4,5,0.2514408030397684,1
22,41,standard,fedadagrad,error_low,4,6,0.2295171066423745,1
22,41,standard,fedadagrad,error_low,4,7,0.1290911220989075,1
23,41,standard,fedadagrad,error_low,4,0,0.934298241285197,0
23,41,standard,fedadagrad,error_low,4,1,0.312404507902673,1
23,41,standard,fedadagrad,error_low,4,2,0.5104893223634255,0
23,41,standard,fedadagrad,error_low,4,3,0.2872302776757626,1
23,41,standard,fedadagrad,error_low,4,4,0.3570630766934208,1
23,41,standard,fedadagrad,error_low,4,5,0.3629137082019959,0
23,41,standard,fedadagrad,error_low,4,6,0.4575643508897455,0
23,41,standard,fedadagrad,error_low,4,7,0.1790078794098083,1
24,41,standard,fedadagrad,error_low,4,0,1.322025218020734,0
24,41,standard,fedadagrad,error_low,4,1,0.1763522859041726,1
24,41,standard,fedadagrad,error_low,4,2,0.3963430953140869,0
24,41,standard,fedadagrad,error_low,4,3,0.3657995884332207,0
24,41,standard,fedadagrad,error_low,4,4,0.3609261991475977,1
24,41,standard,fedadagrad,error_low,4,5,0.2061112811069972,1
24,41,standard,fedadagrad,error_low,4,6,0.4875836120633193,0
24,41,standard,fedadagrad,error_low,4,7,0.3126619189590717,1
25,41,standard,fedadagrad,error_low,4,0,0.5875266342734455,0
25,41,standard,fedadagrad,error_low,4,1,0.2021100801389631,1
25,41,standard,fedadagrad,error_low,4,2,0.5354730381743791,0
25,41,standard,fedadagrad,error_low,4,3,1.4340288388459077,0
25,41,standard,fedadagrad,error_low,4,4,0.3702758976744027,0
25,41,standard,fedadagrad,error_low,4,5,0.2409313197253557,1
25,41,standard,fedadagrad,error_low,4,6,0.3122117901698437,1
25,41,standard,fedadagrad,error_low,4,7,0.1634140297269393,1
